date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:07	139/139	------	200	untouched ('OK')	text/plain	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/robots.txt		(from )
22:51:07	174116/174116	------	200	untouched ('OK')	text/html	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/index.html	(from )
22:51:07	36892/36892	------	200	untouched ('OK')	text/css	date:Mon,%2013%20Jul%202026%2015:52:53%20GMT	https://www.blogger.com/static/v1/widgets/2872013778-css_bundle_v2.css	D:/WEB%20Nghe%20Thuat/Tai%20lieu/www.blogger.com/static/v1/widgets/2872013778-css_bundle_v2.css	(from https://ngothithuyduyen.blogspot.com/)
22:51:07	3638/3638	------	200	untouched ('')	image/x-icon	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/favicon.ico	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/favicon.ico	(from https://ngothithuyduyen.blogspot.com/)
22:51:07	410965/410965	------	200	untouched ('')	application/atom+xml	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/feeds/posts/default	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/feeds/posts/default	(from https://ngothithuyduyen.blogspot.com/)
22:51:07	384992/384992	------	200	untouched ('')	application/rss+xml	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/feeds/posts/default?alt=rss	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/feeds/posts/default9522	(from https://ngothithuyduyen.blogspot.com/)
22:51:08	410965/410965	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://www.blogger.com/feeds/3492378779226980395/posts/default	D:/WEB%20Nghe%20Thuat/Tai%20lieu/www.blogger.com/feeds/3492378779226980395/posts/default	(from https://ngothithuyduyen.blogspot.com/)
22:51:08	99/99	------	200	untouched ('')	image/png	date:Tue,%2014%20Jul%202026%2009:54:04%20GMT	http://www.blogblog.com/1kt/simple/paging_dot.png	D:/WEB%20Nghe%20Thuat/Tai%20lieu/www.blogblog.com/1kt/simple/paging_dot.png	(from https://ngothithuyduyen.blogspot.com/)
22:51:08	1/1	------	200	untouched ('OK')	text/css	date:Tue,%2014%20Jul%202026%2015:00:59%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=3492378779226980395&zx=043fe4db-c0ee-4fca-82f6-500337e83cec	D:/WEB%20Nghe%20Thuat/Tai%20lieu/www.blogger.com/dyn-css/authorizationa416.css	(from https://ngothithuyduyen.blogspot.com/)
22:51:08	64840/64840	------	200	untouched ('')	text/javascript	etag:%22b3a6ff099414a92e%22	https://apis.google.com/js/platform.js	D:/WEB%20Nghe%20Thuat/Tai%20lieu/apis.google.com/js/platform.js	(from https://ngothithuyduyen.blogspot.com/)
