date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:00:50	139/139	---MCZ	200	added ('OK')	text/plain	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/robots.txt		(from )
22:00:51	174116/174116	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/index.html	(from )
22:00:51	36892/36892	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Jul%202026%2015:52:53%20GMT	https://www.blogger.com/static/v1/widgets/2872013778-css_bundle_v2.css	D:/WEB%20Nghe%20Thuat/Tai%20lieu/www.blogger.com/static/v1/widgets/2872013778-css_bundle_v2.css	(from https://ngothithuyduyen.blogspot.com/)
22:00:52	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/favicon.ico	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/favicon.ico	(from https://ngothithuyduyen.blogspot.com/)
22:00:54	410965/410965	---M-Z	200	added ('OK')	application/atom+xml	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/feeds/posts/default	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/feeds/posts/default	(from https://ngothithuyduyen.blogspot.com/)
22:00:55	99/99	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jul%202026%2009:54:04%20GMT	http://www.blogblog.com/1kt/simple/paging_dot.png	D:/WEB%20Nghe%20Thuat/Tai%20lieu/www.blogblog.com/1kt/simple/paging_dot.png	(from https://ngothithuyduyen.blogspot.com/)
22:00:56	384992/384992	---M-Z	200	added ('OK')	application/rss+xml	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/feeds/posts/default?alt=rss	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/feeds/posts/default9522	(from https://ngothithuyduyen.blogspot.com/)
22:00:57	1/1	---MC-	200	added ('OK')	text/css	date:Tue,%2014%20Jul%202026%2015:00:59%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=3492378779226980395&zx=043fe4db-c0ee-4fca-82f6-500337e83cec	D:/WEB%20Nghe%20Thuat/Tai%20lieu/www.blogger.com/dyn-css/authorizationa416.css	(from https://ngothithuyduyen.blogspot.com/)
22:00:57	64840/64840	---M--	200	added ('OK')	text/javascript	etag:%22b3a6ff099414a92e%22	https://apis.google.com/js/platform.js	D:/WEB%20Nghe%20Thuat/Tai%20lieu/apis.google.com/js/platform.js	(from https://ngothithuyduyen.blogspot.com/)
22:00:58	47/47	---M--	200	added ('OK')	text/javascript	etag:13036835877489095579	http://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	D:/WEB%20Nghe%20Thuat/Tai%20lieu/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://ngothithuyduyen.blogspot.com/)
22:00:59	81214/81214	---M--	200	added ('OK')	image/jpeg	etag:%22v111f7%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgd8kaPKFGGcy2u4jaAmLGlVpY4ijyNU_ogtsl_jtEdO7z4gXjntU2PKrR5-U4fCHMfMAueBIObBRbb_2fMisQowlO38nV97xkZ6Y9LjfX32ihyAXPT94Ai2bWBJwpiqsZT6y_p2ki4dEQm/s1600/drawing+-Is1.jpg	D:/WEB%20Nghe%20Thuat/Tai%20lieu/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgd8kaPKFGGcy2u4jaAmLGlVpY4ijyNU_ogtsl_jtE/s1600/drawing%20-Is1.jpg	(from https://ngothithuyduyen.blogspot.com/)
22:01:00	36480/36480	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/2014/05/blog-post.html	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/2014/05/blog-post.html	(from https://ngothithuyduyen.blogspot.com/)
22:01:00	162/162	---M--	200	added ('OK')	image/gif	date:Wed,%2008%20Jul%202026%2005:11:11%20GMT	https://resources.blogblog.com/img/icon18_edit_allbkg.gif	D:/WEB%20Nghe%20Thuat/Tai%20lieu/resources.blogblog.com/img/icon18_edit_allbkg.gif	(from https://ngothithuyduyen.blogspot.com/)
22:01:01	90248/90248	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/search/label/DRAWING	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/search/label/DRAWING.html	(from https://ngothithuyduyen.blogspot.com/)
22:01:02	809219/809219	---M--	200	added ('OK')	image/jpeg	etag:%22v102b3%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjP_oiOEtzZBDR-fStq0hvWF3etg0kmrEl4HABc54K6yUQJc2mSp80mkRNjbF10f0MhUKAhNOnI1vpfbERhuWwHb9OsL7xpaZOovJfmxzwqKlb25R_eAnMa3UcjnssPYbRdHLqw4rw6_y71/s1600/IMAG7249_3.jpg	D:/WEB%20Nghe%20Thuat/Tai%20lieu/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjP_oiOEtzZBDR-fStq0hvWF3etg0kmrEl4HABc54K/s1600/IMAG7249_3.jpg	(from https://ngothithuyduyen.blogspot.com/)
22:01:03	207816/207816	---M--	200	added ('OK')	image/jpeg	etag:%22v102b3%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjP_oiOEtzZBDR-fStq0hvWF3etg0kmrEl4HABc54K6yUQJc2mSp80mkRNjbF10f0MhUKAhNOnI1vpfbERhuWwHb9OsL7xpaZOovJfmxzwqKlb25R_eAnMa3UcjnssPYbRdHLqw4rw6_y71/s640/IMAG7249_3.jpg	D:/WEB%20Nghe%20Thuat/Tai%20lieu/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjP_oiOEtzZBDR-fStq0hvWF3etg0kmrEl4HABc54K/s640/IMAG7249_3.jpg	(from https://ngothithuyduyen.blogspot.com/)
22:01:04	36374/36374	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2012:12:00%20GMT	https://ngothithuyduyen.blogspot.com/2014/01/blog-post.html	D:/WEB%20Nghe%20Thuat/Tai%20lieu/ngothithuyduyen.blogspot.com/2014/01/blog-post.html	(from https://ngothithuyduyen.blogspot.com/)
22:01:05	366305/366305	---M--	200	added ('OK')	image/jpeg	etag:%22vfb59%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEikgRMPMFM6RXiIPM1HMVRRwvpzmq8X_-oTmqKJ2MNEuhrFhsBnJI8bACTN-qG7s2sYn3rhHKlGPaHafvMs77RWMmwt-BeuJ0MtKxEGSWn8vkzKtWK2R2SrOsCUCM_M3WMFekn71e-MvGQp/s1600/small.jpg	D:/WEB%20Nghe%20Thuat/Tai%20lieu/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEikgRMPMFM6RXiIPM1HMVRRwvpzmq8X_-oTmqKJ2MN/s1600/small.jpg	(from https://ngothithuyduyen.blogspot.com/)
22:01:06	194082/194082	---M--	200	added ('OK')	image/jpeg	etag:%22vfb59%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEikgRMPMFM6RXiIPM1HMVRRwvpzmq8X_-oTmqKJ2MNEuhrFhsBnJI8bACTN-qG7s2sYn3rhHKlGPaHafvMs77RWMmwt-BeuJ0MtKxEGSWn8vkzKtWK2R2SrOsCUCM_M3WMFekn71e-MvGQp/s640/small.jpg	D:/WEB%20Nghe%20Thuat/Tai%20lieu/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEikgRMPMFM6RXiIPM1HMVRRwvpzmq8X_-oTmqKJ2MNEuhrFhsBnJI8bACTN-qG7s2sYn3rhHKlGPaHafvMs77RWMmwt-BeuJ0MtKxEGSWn8vkzKtWK2R2SrOsCUCM_M3WMFekn71e-MvGQp/s640/small.jpg	(from https://ngothithuyduyen.blogspot.com/)
